행정구역,총인구수
중구,133360
용산구,243232
성동구,299604
광진구,371313
동대문구,363258
중랑구,419295
성북구,481857
강북구,343157
도봉구,362270
노원구,597189
은평구,501480
서대문구,315113
마포구,384644
양천구,495911
강서구,567431
구로구,427520
금천구,243288
영등포구,391408
동작구,405491
관악구,523029
서초구,435044
강남구,564197
송파구,673115
강동구,487905
서구,120828
동구,98529
영도구,139765
부산진구,392731
동래구,278767
남구,291175
북구,312937
해운대구,428188
사하구,352726
금정구,255692
연제구,211536
수영구,176666
사상구,250424
기장군,114566
수성구,459779
달서구,606557
달성군,184366
연수구,292589
남동구,503597
부평구,559047
계양구,342202
강화군,66752
옹진군,20039
광산구,385101
유성구,306312
대덕구,205688
울주군,207840
세종시,113117
수원시,1120258
장안구,291757
권선구,332633
팔달구,206794
영통구,289074
성남시,978615
수정구,233997
중원구,253883
분당구,490735
의정부시,429147
안양시,611412
만안구,253492
동안구,357920
부천시,869944
원미구,446604
소사구,231363
오정구,191977
광명시,355560
평택시,434305
동두천시,97175
안산시,715108
상록구,381556
단원구,333552
고양시,969916
덕양구,396559
일산동구,281949
일산서구,291408
과천시,71068
구리시,192341
남양주시,599539
오산시,200291
시흥시,399485
군포시,286841
의왕시,154757
하남시,146269
용인시,915959
처인구,210524
기흥구,375875
수지구,329560
파주시,394201
이천시,204917
안성시,181608
김포시,287432
화성시,525490
광주시,275656
양주시,200310
포천시,157559
여주군,109550
연천군,45599
가평군,60794
양평군,102193
춘천시,273364
원주시,323885
강릉시,217741
동해시,93897
태백시,49493
속초시,83579
삼척시,72463
홍천군,69727
횡성군,44615
영월군,40155
평창군,43627
정선군,39915
철원군,47968
화천군,25020
양구군,22799
인제군,32456
고성군,30124
양양군,27802
청주시,666852
상당구,240433
흥덕구,426419
충주시,208447
제천시,137521
청원군,154780
보은군,34438
옥천군,53244
영동군,50663
증평군,34279
진천군,63458
괴산군,37713
음성군,92980
단양군,31253
당진시,155104
천안시,581988
동남구,257908
서북구,324080
공주시,117298
보령시,105559
아산시,280490
서산시,163315
논산시,126653
계룡시,41550
금산군,55715
부여군,73259
서천군,58920
청양군,32087
홍성군,88415
예산군,85876
태안군,62548
전주시,648863
완산구,363986
덕진구,284877
군산시,278341
익산시,306469
정읍시,119392
남원시,87000
김제시,92317
완주군,86164
진안군,26963
무주군,25321
장수군,23191
임실군,29956
순창군,30055
고창군,60440
부안군,58869
목포시,245073
여수시,292217
순천시,273798
나주시,88067
광양시,150837
담양군,47612
곡성군,30878
구례군,27077
고흥군,71560
보성군,47050
화순군,68378
장흥군,42672
강진군,40241
해남군,78150
영암군,59997
무안군,75741
함평군,35780
영광군,57224
장성군,46289
완도군,53871
진도군,33208
신안군,43898
포항시,518913
경주시,264091
김천시,135504
안동시,168302
구미시,416949
영주시,113547
영천시,101798
상주시,104182
문경시,75899
경산시,246358
군위군,24119
의성군,57043
청송군,26481
영양군,18208
영덕군,40257
청도군,43968
고령군,35343
성주군,45127
칠곡군,119786
예천군,46027
봉화군,33934
울진군,51844
울릉군,10673
창원시,1091471
의창구,255394
성산구,246801
마산합포구,185505
마산회원구,221388
진해구,182383
진주시,337314
통영시,139347
사천시,115321
김해시,513260
밀양시,108755
거제시,236944
양산시,270460
의령군,30329
함안군,67425
창녕군,62966
남해군,48223
하동군,50806
산청군,35691
함양군,40714
거창군,63103
합천군,50279
제주시,429656
서귀포시,154057
