행정구역,총인구수
중구,129465
용산구,238708
성동구,308058
광진구,373998
동대문구,362146
중랑구,424761
성북구,476028
강북구,340367
도봉구,369733
노원구,610616
은평구,465895
서대문구,327451
마포구,384013
양천구,501395
강서구,572836
구로구,421967
금천구,244835
영등포구,405798
동작구,397920
관악구,529869
서초구,425481
강남구,562138
송파구,681476
강동구,484745
서구,125785
동구,101153
영도구,148139
부산진구,395689
동래구,281644
남구,297963
북구,314227
해운대구,424974
사하구,359800
금정구,252039
연제구,210390
수영구,177292
사상구,255274
기장군,89384
수성구,456196
달서구,598011
달성군,176135
연수구,271497
남동구,463414
부평구,563920
계양구,344039
강화군,67049
옹진군,18221
광산구,342936
유성구,266585
대덕구,208147
울주군,195399
수원시,1073149
장안구,290798
권선구,304097
팔달구,219833
영통구,258421
성남시,962726
수정구,242161
중원구,259877
분당구,460688
의정부시,431008
안양시,616547
만안구,262258
동안구,354289
부천시,869944
원미구,447136
소사구,229335
오정구,193473
광명시,314257
평택시,410042
동두천시,93211
안산시,705346
상록구,374055
단원구,331291
고양시,938784
덕양구,388777
일산동구,261943
일산서구,288064
과천시,72049
구리시,195593
남양주시,525211
오산시,159734
시흥시,397912
군포시,275731
의왕시,140874
하남시,148566
용인시,839204
처인구,203620
기흥구,340133
수지구,295451
파주시,323011
이천시,197496
안성시,170919
김포시,225805
화성시,491528
광주시,238583
양주시,182106
포천시,158931
여주군,108088
연천군,45241
가평군,57564
양평군,91450
춘천시,264849
원주시,307882
강릉시,217464
동해시,95271
태백시,50424
속초시,83822
삼척시,71935
홍천군,69606
횡성군,44121
영월군,40265
평창군,43634
정선군,40708
철원군,47669
화천군,24216
양구군,21323
인제군,31452
고성군,30272
양양군,27957
청주시,643161
상당구,243777
흥덕구,399384
충주시,206613
제천시,135580
청원군,149783
보은군,34845
옥천군,54117
영동군,50426
증평군,33164
진천군,61456
괴산군,36775
음성군,89716
단양군,31842
천안시,540832
동남구,237854
서북구,302978
공주시,124172
보령시,106754
아산시,256449
서산시,158886
논산시,127097
계룡시,42760
금산군,56220
연기군,79482
부여군,75564
서천군,60066
청양군,32613
홍성군,87631
예산군,87163
태안군,63095
당진군,138798
전주시,635007
완산구,352737
덕진구,282270
군산시,266922
익산시,306669
정읍시,121545
남원시,87675
김제시,94770
완주군,83885
진안군,27558
무주군,25811
장수군,23478
임실군,30703
순창군,30179
고창군,60102
부안군,60204
목포시,244339
여수시,293546
순천시,269516
나주시,90875
광양시,143461
담양군,47286
곡성군,32084
구례군,27518
고흥군,75127
보성군,49048
화순군,69675
장흥군,42097
강진군,41164
해남군,81148
영암군,59837
무안군,72417
함평군,37089
영광군,57037
장성군,46214
완도군,54301
진도군,33931
신안군,45294
포항시,509475
경주시,267466
김천시,135918
안동시,167432
구미시,396419
영주시,113309
영천시,103115
상주시,106208
문경시,76645
경산시,236459
군위군,24966
의성군,59109
청송군,26917
영양군,18553
영덕군,41710
청도군,44279
고령군,34535
성주군,45616
칠곡군,117288
예천군,47306
봉화군,34297
울진군,52529
울릉군,10325
창원시,502727
마산시,406307
진주시,331720
진해시,171407
통영시,137415
사천시,112724
김해시,492413
밀양시,110170
거제시,225522
양산시,250387
의령군,30496
함안군,66582
창녕군,61252
남해군,50244
하동군,52010
산청군,34921
함양군,40626
거창군,63180
합천군,52973
제주시,410378
서귀포시,152285
