행정구역,총인구수
중구,125733
용산구,233342
성동구,297003
광진구,360369
동대문구,360153
중랑구,413909
성북구,459275
강북구,330873
도봉구,351242
노원구,574583
은평구,497920
서대문구,312141
마포구,387643
양천구,484532
강서구,589074
구로구,422092
금천구,236284
영등포구,378504
동작구,400641
관악구,509663
서초구,446764
강남구,576495
송파구,660302
강동구,458658
서구,115963
동구,92069
영도구,129385
부산진구,381572
동래구,272837
남구,283101
북구,310484
해운대구,422818
사하구,337781
금정구,246026
연제구,210718
수영구,179795
사상구,237711
기장군,153093
수성구,451786
달서구,602641
달성군,192747
연수구,319052
남동구,531395
부평구,555844
계양구,334332
강화군,67667
옹진군,20962
광산구,400753
유성구,335312
대덕구,196839
울주군,219429
세종시,210884
수원시,1184624
장안구,299016
권선구,351053
팔달구,199180
영통구,335375
성남시,971424
수정구,219531
중원구,250004
분당구,501889
의정부시,433937
안양시,597789
만안구,247270
동안구,350519
부천시,848987
원미구,442898
소사구,222016
오정구,184073
광명시,344978
평택시,460532
동두천시,97974
안산시,697885
상록구,379517
단원구,318368
고양시,1027546
덕양구,441988
일산동구,285658
일산서구,299900
과천시,68946
구리시,186721
남양주시,653454
오산시,206828
시흥시,398256
군포시,287519
의왕시,157740
하남시,166713
용인시,975746
처인구,221347
기흥구,409162
수지구,345237
파주시,423321
이천시,204935
안성시,180199
김포시,349990
화성시,596525
광주시,312579
양주시,205184
포천시,155192
여주시,111033
연천군,45725
가평군,62008
양평군,108316
춘천시,277997
원주시,332995
강릉시,214560
동해시,93895
태백시,47501
속초시,81992
삼척시,70839
홍천군,70336
횡성군,45777
영월군,40216
평창군,43500
정선군,39197
철원군,48799
화천군,27020
양구군,24089
인제군,33255
고성군,30060
양양군,27479
청주시,831912
서원구,220045
청원구,182017
상당구,176424
흥덕구,253426
충주시,207913
제천시,136138
보은군,34296
옥천군,52404
영동군,50693
증평군,36671
진천군,67981
괴산군,38787
음성군,96396
단양군,30761
당진시,165122
천안시,605776
동남구,261474
서북구,344302
공주시,111261
보령시,104754
아산시,297737
서산시,170099
논산시,124232
계룡시,41730
금산군,54879
부여군,71143
서천군,56910
청양군,32485
홍성군,94553
예산군,83484
태안군,63484
전주시,652282
완산구,365605
덕진구,286677
군산시,278398
익산시,302061
정읍시,115977
남원시,84856
김제시,88721
완주군,95303
진안군,26203
무주군,25220
장수군,23277
임실군,30271
순창군,30248
고창군,60046
부안군,56848
목포시,238382
여수시,290168
순천시,278765
나주시,98182
광양시,153587
담양군,47009
곡성군,30672
구례군,27308
고흥군,68601
보성군,45349
화순군,65848
장흥군,43513
강진군,38758
해남군,76194
영암군,58137
무안군,82236
함평군,34876
영광군,56267
장성군,46360
완도군,53014
진도군,32476
신안군,43294
포항시,519584
경주시,259773
김천시,140132
안동시,169221
구미시,419915
영주시,109735
영천시,100648
상주시,102374
문경시,75784
경산시,256888
군위군,24126
의성군,54477
청송군,26384
영양군,17898
영덕군,39191
청도군,43724
고령군,34594
성주군,45029
칠곡군,122829
예천군,44674
봉화군,33808
울진군,51885
울릉군,10153
창원시,1070064
의창구,256471
성산구,234399
마산합포구,181670
마산회원구,211791
진해구,185733
진주시,344426
통영시,139168
사천시,115452
김해시,528865
밀양시,107896
거제시,255828
양산시,301291
의령군,28544
함안군,69156
창녕군,63817
남해군,45865
하동군,50259
산청군,36071
함양군,40339
거창군,63232
합천군,49145
제주시,459876
서귀포시,164519
