행정구역,총인구수
용산구,235832
성동구,333535
광진구,376572
동대문구,376421
중랑구,427071
성북구,469973
강북구,345478
도봉구,375975
노원구,616753
은평구,459196
서대문구,348575
마포구,392650
양천구,503650
강서구,560424
구로구,420542
금천구,249108
영등포구,408178
동작구,405967
관악구,535571
서초구,405969
강남구,560958
송파구,623876
강동구,464546
중구,50004
서구,132803
동구,104881
영도구,155273
부산진구,402359
동래구,284901
남구,296666
북구,325302
해운대구,423816
사하구,364693
금정구,258934
연제구,212658
수영구,178253
사상구,265512
기장군,79565
수성구,447164
달서구,591169
달성군,160443
연수구,268780
남동구,425217
부평구,568905
계양구,342564
강화군,66466
옹진군,16980
광산구,316101
유성구,250523
대덕구,213275
울주군,183261
수원시,1067702
장안구,287474
권선구,310553
팔달구,216945
영통구,252730
성남시,953960
수정구,256744
중원구,263101
분당구,434115
의정부시,421853
안양시,624197
만안구,265881
동안구,358316
부천시,864037
원미구,443290
소사구,227484
오정구,193263
광명시,313019
평택시,402458
동두천시,88780
안산시,705040
상록구,373969
단원구,331071
고양시,924839
덕양구,378260
일산동구,256493
일산서구,290086
과천시,62291
구리시,196800
남양주시,492347
오산시,145825
시흥시,390564
군포시,275351
의왕시,135009
하남시,137131
용인시,800294
처인구,202714
기흥구,301630
수지구,295950
파주시,303831
이천시,195691
안성시,163733
김포시,205997
화성시,371972
광주시,229319
양주시,179914
포천시,158156
여주군,106926
연천군,45603
가평군,55698
양평군,87874
춘천시,258141
원주시,298762
강릉시,220484
동해시,96652
태백시,51490
속초시,85370
삼척시,70791
홍천군,70142
횡성군,43176
영월군,40290
평창군,44003
정선군,41806
철원군,47420
화천군,22944
양구군,21401
인제군,32079
고성군,30383
양양군,28472
청주시,633286
상당구,250558
흥덕구,382728
충주시,205064
제천시,136218
청원군,143021
보은군,35354
옥천군,54608
영동군,50131
증평군,31145
진천군,60154
괴산군,36873
음성군,88355
단양군,32399
천안시,531956
공주시,126612
보령시,107637
아산시,221490
서산시,153569
논산시,129486
계룡시,37775
금산군,57690
연기군,79977
부여군,77916
서천군,61168
청양군,33604
홍성군,88685
예산군,88670
태안군,63042
당진군,136254
전주시,623926
완산구,348930
덕진구,274996
군산시,260562
익산시,313590
정읍시,124239
남원시,89247
김제시,97615
완주군,82972
진안군,30250
무주군,26361
장수군,26687
임실군,31952
순창군,32035
고창군,60962
부안군,61879
목포시,243312
여수시,295439
순천시,270380
나주시,95439
광양시,138865
담양군,50441
곡성군,33311
구례군,28203
고흥군,78589
보성군,50921
화순군,71551
장흥군,43468
강진군,41352
해남군,82529
영암군,60742
무안군,63674
함평군,37998
영광군,58837
장성군,47410
완도군,56201
진도군,35206
신안군,45968
포항시,505555
경주시,272206
김천시,139084
안동시,167916
구미시,391897
영주시,115083
영천시,105819
상주시,106600
문경시,74780
경산시,236881
군위군,25781
의성군,61366
청송군,27862
영양군,19119
영덕군,43470
청도군,45515
고령군,34907
성주군,45680
칠곡군,113851
예천군,48866
봉화군,35046
울진군,53955
울릉군,10125
창원시,503930
마산시,415805
진주시,330756
진해시,163108
통영시,134431
사천시,112499
김해시,464964
밀양시,111473
거제시,208208
양산시,231956
의령군,31418
함안군,64865
창녕군,62255
남해군,55026
하동군,55526
산청군,35274
함양군,40637
거창군,63979
합천군,55450
제주시,405458
서귀포시,153800
