행정구역,총인구수
용산구,232035
성동구,334437
광진구,374442
동대문구,378860
중랑구,426078
성북구,472843
강북구,348990
도봉구,377534
노원구,618093
은평구,464580
서대문구,349020
마포구,390583
양천구,501717
강서구,554945
구로구,419832
금천구,253243
영등포구,408698
동작구,408582
관악구,535217
서초구,408266
강남구,556964
송파구,607005
강동구,461760
중구,50766
서구,136226
동구,106890
영도구,158780
부산진구,405775
동래구,279528
남구,297893
북구,330446
해운대구,418875
사하구,366865
금정구,263338
연제구,214809
수영구,177814
사상구,271484
기장군,79334
수성구,440172
달서구,589041
달성군,158314
연수구,271010
남동구,390044
부평구,570283
계양구,342335
강화군,65510
옹진군,16491
광산구,311621
유성구,243130
대덕구,217332
울주군,177103
수원시,1068906
장안구,289490
권선구,307072
팔달구,217794
영통구,254550
성남시,964831
수정구,259427
중원구,264971
분당구,440433
의정부시,410938
안양시,624280
만안구,267612
동안구,356668
부천시,860020
원미구,443964
소사구,227368
오정구,188688
광명시,313372
평택시,396765
동두천시,85803
안산시,698819
상록구,369527
단원구,329292
고양시,910206
덕양구,381105
일산동구,239632
일산서구,289469
과천시,60482
구리시,193847
남양주시,470617
오산시,136311
시흥시,390477
군포시,274569
의왕시,138253
하남시,134824
용인시,766569
처인구,199397
기흥구,282461
수지구,284711
파주시,292752
이천시,194369
안성시,159655
김포시,207824
화성시,310171
광주시,222048
양주시,169806
포천시,157269
여주군,105022
연천군,46075
가평군,54855
양평군,86298
춘천시,256239
원주시,294155
강릉시,222016
동해시,97497
태백시,51593
속초시,86073
삼척시,71750
홍천군,70037
횡성군,42982
영월군,40511
평창군,44332
정선군,43186
철원군,48024
화천군,23317
양구군,21269
인제군,32493
고성군,31285
양양군,28661
청주시,626679
상당구,256339
흥덕구,370340
충주시,204610
제천시,136398
청원군,136538
보은군,36293
옥천군,54923
영동군,50819
증평군,30483
진천군,60111
괴산군,37570
음성군,86789
단양군,33346
천안시,523323
공주시,128330
보령시,107591
아산시,211560
서산시,150889
논산시,131466
계룡시,36846
금산군,57552
연기군,82747
부여군,79595
서천군,62629
청양군,34086
홍성군,89555
예산군,89585
태안군,63754
당진군,124925
전주시,624849
완산구,351051
덕진구,273798
군산시,260989
익산시,315094
정읍시,126249
남원시,91265
김제시,100238
완주군,83199
진안군,27122
무주군,25417
장수군,24209
임실군,31976
순창군,32485
고창군,62030
부안군,63243
목포시,241679
여수시,297489
순천시,269940
나주시,96417
광양시,138237
담양군,50332
곡성군,33631
구례군,28837
고흥군,81068
보성군,51948
화순군,72615
장흥군,44451
강진군,41938
해남군,84338
영암군,61546
무안군,61766
함평군,38647
영광군,60045
장성군,47870
완도군,57464
진도군,35953
신안군,46714
포항시,505008
경주시,273419
김천시,139682
안동시,168733
구미시,386465
영주시,116965
영천시,105029
상주시,108280
문경시,76177
경산시,234839
군위군,26687
의성군,62947
청송군,28465
영양군,19615
영덕군,46460
청도군,46144
고령군,34777
성주군,46358
칠곡군,111390
예천군,50218
봉화군,35608
울진군,55076
울릉군,10235
창원시,503881
마산시,421783
진주시,333554
진해시,161175
통영시,133127
사천시,112300
김해시,453728
밀양시,112025
거제시,201412
양산시,226425
의령군,31625
함안군,63460
창녕군,63476
남해군,50792
하동군,52898
산청군,35704
함양군,41162
거창군,63917
합천군,55104
제주시,403601
서귀포시,154895
