행정구역,총인구수
중구,125240
용산구,230040
성동구,293556
광진구,346682
동대문구,342837
중랑구,394702
성북구,437153
강북구,308055
도봉구,325257
노원구,523037
은평구,479835
서대문구,312173
마포구,371890
양천구,454251
강서구,580185
구로구,404408
금천구,231733
영등포구,379480
동작구,391220
관악구,495060
서초구,425126
강남구,539231
송파구,667960
강동구,459970
서구,108135
동구,88901
영도구,113342
부산진구,359886
동래구,270745
남구,267731
북구,283952
해운대구,402169
사하구,311757
금정구,232666
연제구,209157
수영구,176894
사상구,212586
기장군,174545
수성구,424314
달서구,558631
달성군,259339
미추홀구,404343
연수구,387450
남동구,525354
부평구,494962
계양구,296750
강화군,69203
옹진군,20455
광산구,405579
유성구,351047
대덕구,176384
울주군,222538
세종시,355831
수원시,1186078
장안구,273661
권선구,368645
팔달구,174930
영통구,368842
성남시,940064
수정구,241701
중원구,216131
분당구,482232
의정부시,461710
안양시,550027
만안구,239413
동안구,310614
부천시,818383
광명시,298599
평택시,537307
동두천시,94353
안산시,654915
상록구,351888
단원구,303027
고양시,1079216
덕양구,476962
일산동구,299716
일산서구,302538
과천시,63231
구리시,197454
남양주시,713321
오산시,229725
시흥시,500895
군포시,273791
의왕시,163795
하남시,293452
용인시,1074176
처인구,257498
기흥구,440835
수지구,375843
파주시,465617
이천시,218388
안성시,187012
김포시,473970
화성시,855248
광주시,382054
양주시,230359
포천시,147274
여주시,111897
연천군,43516
가평군,62377
양평군,118810
춘천시,282765
원주시,354376
강릉시,213321
동해시,90593
태백시,42719
속초시,82665
삼척시,65243
홍천군,69242
횡성군,46472
영월군,38662
평창군,41681
정선군,36870
철원군,44699
화천군,24857
양구군,22278
인제군,31694
고성군,26757
양양군,27946
청주시,844993
서원구,194720
청원구,194373
상당구,190034
흥덕구,265866
충주시,210186
제천시,133018
보은군,32412
옥천군,50527
영동군,47475
증평군,36807
진천군,83718
괴산군,39393
음성군,93153
단양군,29155
당진시,166249
천안시,658808
동남구,258009
서북구,400799
공주시,104545
보령시,100229
아산시,316129
서산시,175591
논산시,116675
계룡시,42822
금산군,51413
부여군,65354
서천군,51866
청양군,30948
홍성군,100102
예산군,78084
태안군,62214
전주시,657432
완산구,339718
덕진구,317714
군산시,267859
익산시,282276
정읍시,108508
남원시,80662
김제시,82450
완주군,91609
진안군,25394
무주군,24036
장수군,22085
임실군,27314
순창군,27810
고창군,54529
부안군,52140
목포시,224044
여수시,280242
순천시,282189
나주시,115613
광양시,151769
담양군,46280
곡성군,28039
구례군,25719
고흥군,63922
보성군,40482
화순군,62522
장흥군,37800
강진군,34597
해남군,68806
영암군,53699
무안군,86132
함평군,32050
영광군,53099
장성군,44464
완도군,49916
진도군,31227
신안군,38938
포항시,502916
경주시,253502
김천시,140548
안동시,158907
구미시,416328
영주시,103119
영천시,102015
상주시,97228
문경시,71406
경산시,263728
군위군,23256
의성군,51724
청송군,25044
영양군,16692
영덕군,36313
청도군,42263
고령군,31361
성주군,43414
칠곡군,114758
예천군,55613
봉화군,31494
울진군,48716
울릉군,9077
창원시,1036738
의창구,262408
성산구,214570
마산합포구,175716
마산회원구,191289
진해구,192755
진주시,348096
통영시,128293
사천시,111105
김해시,542338
밀양시,104831
거제시,245754
양산시,352229
의령군,26800
함안군,64182
창녕군,61301
남해군,42958
하동군,44785
산청군,34857
함양군,39080
거창군,61502
합천군,44006
제주시,492466
서귀포시,182169
