행정구역,총인구수
중구,130465
용산구,239740
성동구,299337
광진구,368927
동대문구,364273
중랑구,416798
성북구,476589
강북구,338707
도봉구,358582
노원구,590479
은평구,503660
서대문구,314110
마포구,381856
양천구,492528
강서구,569070
구로구,424964
금천구,241020
영등포구,386471
동작구,410815
관악구,518028
서초구,441763
강남구,563599
송파구,668415
강동구,483379
서구,118783
동구,96011
영도구,135816
부산진구,389765
동래구,276689
남구,291770
북구,309719
해운대구,425536
사하구,349110
금정구,253526
연제구,209290
수영구,175098
사상구,246797
기장군,132507
수성구,461004
달서구,610358
달성군,184358
연수구,300305
남동구,507021
부평구,556985
계양구,343806
강화군,66735
옹진군,20698
광산구,392875
유성구,313968
대덕구,204360
울주군,208646
세종시,122153
수원시,1148157
장안구,300908
권선구,331773
팔달구,204805
영통구,310671
성남시,979534
수정구,228167
중원구,256349
분당구,495018
의정부시,430976
안양시,607877
만안구,250246
동안구,357631
부천시,863720
원미구,444207
소사구,229959
오정구,189554
광명시,353100
평택시,442034
동두천시,97557
안산시,713666
상록구,382571
단원구,331095
고양시,990571
덕양구,410491
일산동구,283976
일산서구,296104
과천시,70578
구리시,189680
남양주시,618305
오산시,205460
시흥시,396765
군포시,286344
의왕시,159772
하남시,145096
용인시,941477
처인구,212904
기흥구,393172
수지구,335401
파주시,401718
이천시,205479
안성시,182173
김포시,312305
화성시,530251
광주시,286699
양주시,199143
포천시,156603
여주시,109343
연천군,45610
가평군,61017
양평군,103620
춘천시,274455
원주시,324837
강릉시,216806
동해시,95143
태백시,48794
속초시,83109
삼척시,73023
홍천군,70638
횡성군,44937
영월군,40150
평창군,43666
정선군,39985
철원군,47473
화천군,25079
양구군,23594
인제군,32517
고성군,30398
양양군,27659
청주시,672904
상당구,246128
흥덕구,426776
충주시,208115
제천시,137204
청원군,155002
보은군,34318
옥천군,52763
영동군,50539
증평군,34546
진천군,64606
괴산군,38059
음성군,93505
단양군,31171
당진시,159615
천안시,591089
동남구,260575
서북구,330514
공주시,116369
보령시,104938
아산시,287073
서산시,165837
논산시,125844
계룡시,40957
금산군,55441
부여군,72547
서천군,58441
청양군,32155
홍성군,89704
예산군,85205
태안군,62416
전주시,650082
완산구,363694
덕진구,286388
군산시,278319
익산시,306539
정읍시,118328
남원시,86460
김제시,91218
완주군,86978
진안군,26703
무주군,25398
장수군,23243
임실군,29739
순창군,30272
고창군,60522
부안군,59164
목포시,240936
여수시,291366
순천시,275668
나주시,87754
광양시,151621
담양군,47365
곡성군,31009
구례군,27115
고흥군,70631
보성군,46385
화순군,67829
장흥군,43004
강진군,40079
해남군,77684
영암군,59061
무안군,79367
함평군,35610
영광군,57617
장성군,46292
완도군,53619
진도군,32998
신안군,44162
포항시,519467
경주시,263283
김천시,135259
안동시,168461
구미시,419428
영주시,112625
영천시,100778
상주시,103346
문경시,75664
경산시,248805
군위군,24172
의성군,56064
청송군,26470
영양군,18297
영덕군,40142
청도군,43788
고령군,35198
성주군,45067
칠곡군,121182
예천군,45573
봉화군,33894
울진군,51953
울릉군,10524
창원시,1083731
의창구,255816
성산구,242870
마산합포구,183365
마산회원구,219558
진해구,182122
진주시,337071
통영시,139719
사천시,116851
김해시,522049
밀양시,108342
거제시,242077
양산시,279565
의령군,29417
함안군,67667
창녕군,63447
남해군,47244
하동군,50177
산청군,35935
함양군,40692
거창군,63177
합천군,50290
제주시,438165
서귀포시,155641
