행정구역,총인구수
용산구,234653
성동구,340773
광진구,386511
동대문구,381841
중랑구,442125
성북구,443809
강북구,361896
도봉구,371911
노원구,641652
은평구,470205
서대문구,362614
마포구,375417
양천구,484518
강서구,528321
구로구,413363
금천구,261413
영등포구,408753
동작구,403047
관악구,522207
서초구,389256
강남구,535138
송파구,647037
강동구,481470
중구,55671
서구,148020
동구,121043
영도구,174678
부산진구,420645
동래구,290396
남구,305375
북구,320976
해운대구,401663
사하구,378236
금정구,278511
연제구,228268
수영구,177881
사상구,294090
기장군,76384
수성구,446879
달서구,605433
달성군,155601
연수구,259254
남동구,403574
부평구,558310
계양구,341074
강화군,65698
옹진군,14120
광산구,275301
유성구,187346
대덕구,229926
울주군,171321
수원시,1019711
장안구,346336
권선구,328786
팔달구,344589
성남시,940974
수정구,259763
중원구,273671
분당구,407540
의정부시,378424
안양시,595142
만안구,269302
동안구,325840
부천시,816499
원미구,424021
소사구,201594
오정구,190884
광명시,340807
평택시,358531
동두천시,73177
안산시,628861
상록구,338133
단원구,290728
고양시,836664
덕양구,377046
일산구,459618
과천시,70488
구리시,193214
남양주시,392614
오산시,115956
시흥시,353860
군포시,268559
의왕시,133395
하남시,127541
용인시,525622
파주시,235147
이천시,189526
안성시,147898
김포시,193438
화성시,226930
광주시,175614
양주군,143124
여주군,104380
연천군,50372
포천군,152507
가평군,55506
양평군,82992
춘천시,252624
원주시,276889
강릉시,229869
동해시,102857
태백시,55154
속초시,90029
삼척시,77434
홍천군,72514
횡성군,45198
영월군,45273
평창군,46262
정선군,51226
철원군,50532
화천군,24088
양구군,22527
인제군,32447
고성군,33721
양양군,30076
청주시,603941
상당구,240972
흥덕구,362969
충주시,211980
제천시,143231
청원군,122782
보은군,40420
옥천군,58461
영동군,55752
진천군,59699
괴산군,41827
음성군,86562
단양군,37320
천안시,441243
공주시,132584
보령시,113365
아산시,191123
서산시,148150
논산시,137419
금산군,61350
연기군,82323
부여군,88014
서천군,70116
청양군,38588
홍성군,91377
예산군,97786
태안군,66062
당진군,118395
전주시,624485
완산구,342063
덕진구,282422
군산시,272007
익산시,330101
정읍시,139133
남원시,100392
김제시,110989
완주군,84626
진안군,30439
무주군,27894
장수군,26349
임실군,35071
순창군,32329
고창군,69657
부안군,70374
목포시,244909
여수시,315536
순천시,271139
나주시,102825
광양시,137913
담양군,51535
곡성군,36754
구례군,31755
고흥군,92715
보성군,57282
화순군,78443
장흥군,50232
강진군,46381
해남군,92323
영암군,64637
무안군,65976
함평군,41965
영광군,67055
장성군,52542
완도군,62964
진도군,39619
신안군,49704
포항시,511667
경주시,284589
김천시,146666
안동시,179326
구미시,350011
영주시,126040
영천시,115401
상주시,118999
문경시,83749
경산시,218446
군위군,31654
의성군,70863
청송군,32323
영양군,21385
영덕군,52602
청도군,50716
고령군,35978
성주군,51761
칠곡군,105844
예천군,55746
봉화군,39852
울진군,63511
울릉군,9615
창원시,513659
마산시,432903
진주시,339943
진해시,141124
통영시,134107
사천시,117076
김해시,390292
밀양시,120342
거제시,182035
양산시,205958
의령군,32751
함안군,64318
창녕군,69220
남해군,55958
하동군,56777
산청군,38726
함양군,43982
거창군,67224
합천군,57649
제주시,289874
서귀포시,84601
북제주군,100540
남제주군,75816
