행정구역,총인구수
중구,126171
용산구,228670
성동구,300889
광진구,351350
동대문구,346194
중랑구,397015
성북구,442650
강북구,313954
도봉구,333362
노원구,532905
은평구,480032
서대문구,309397
마포구,374035
양천구,458165
강서구,591796
구로구,406664
금천구,232810
영등포구,367678
동작구,395963
관악구,500094
서초구,430826
강남구,545169
송파구,675961
강동구,436067
서구,108229
동구,88165
영도구,116711
부산진구,357880
동래구,271247
남구,274480
북구,291132
해운대구,406102
사하구,321004
금정구,239062
연제구,209395
수영구,176148
사상구,218094
기장군,164716
수성구,428614
달서구,568887
달성군,256540
미추홀구,408862
연수구,366550
남동구,532704
부평구,511577
계양구,303471
강화군,69178
옹진군,20566
광산구,405315
유성구,349373
대덕구,177031
울주군,223167
세종시,340575
수원시,1194465
장안구,278377
권선구,371754
팔달구,175866
영통구,368468
성남시,942724
수정구,234678
중원구,220041
분당구,488005
의정부시,451868
안양시,567044
만안구,244235
동안구,322809
부천시,829996
광명시,316552
평택시,513027
동두천시,94768
안산시,650918
상록구,344613
단원구,306305
고양시,1066351
덕양구,466157
일산동구,297671
일산서구,302523
과천시,58289
구리시,199265
남양주시,701830
오산시,226379
시흥시,473682
군포시,275852
의왕시,161153
하남시,272455
용인시,1059609
처인구,253896
기흥구,436679
수지구,369034
파주시,454040
이천시,215834
안성시,183405
김포시,437221
화성시,815396
광주시,372654
양주시,222314
포천시,148379
여주시,111083
연천군,43824
가평군,62415
양평군,116874
춘천시,281291
원주시,349215
강릉시,213442
동해시,90522
태백시,43866
속초시,81786
삼척시,67228
홍천군,69150
횡성군,46575
영월군,39127
평창군,42106
정선군,37271
철원군,45584
화천군,24917
양구군,22764
인제군,31672
고성군,27260
양양군,27726
청주시,839566
서원구,203209
청원구,195868
상당구,178352
흥덕구,262137
충주시,210737
제천시,134617
보은군,32949
옥천군,51023
영동군,48738
증평군,37392
진천군,81084
괴산군,39163
음성군,94982
단양군,29756
당진시,167042
천안시,652258
동남구,259411
서북구,392847
공주시,106474
보령시,101114
아산시,314395
서산시,174690
논산시,118842
계룡시,42971
금산군,52257
부여군,66740
서천군,52805
청양군,31717
홍성군,100423
예산군,79238
태안군,62743
전주시,654394
완산구,338839
덕진구,315555
군산시,270131
익산시,287771
정읍시,110541
남원시,81441
김제시,83895
완주군,92220
진안군,25697
무주군,24303
장수군,22441
임실군,28902
순창군,28382
고창군,55504
부안군,53295
목포시,229861
여수시,282786
순천시,279598
나주시,114664
광양시,156750
담양군,46535
곡성군,28887
구례군,26563
고흥군,64913
보성군,41420
화순군,62737
장흥군,38563
강진군,35286
해남군,70354
영암군,54593
무안군,81105
함평군,32861
영광군,53852
장성군,45739
완도군,50689
진도군,30715
신안군,40274
포항시,507025
경주시,255402
김천시,141229
안동시,160052
구미시,419742
영주시,105067
영천시,102470
상주시,100688
문경시,72242
경산시,263185
군위군,23843
의성군,52595
청송군,25416
영양군,16993
영덕군,37361
청도군,42910
고령군,32373
성주군,44015
칠곡군,117047
예천군,55100
봉화군,32150
울진군,49314
울릉군,9617
창원시,1044740
의창구,258582
성산구,220945
마산합포구,177784
마산회원구,193807
진해구,193622
진주시,347334
통영시,131404
사천시,111925
김해시,542455
밀양시,105552
거제시,248276
양산시,350759
의령군,27168
함안군,65700
창녕군,62331
남해군,43622
하동군,46574
산청군,35417
함양군,39637
거창군,62179
합천군,45204
제주시,489405
서귀포시,181584
