행정구역,총인구수
중구,125725
용산구,228999
성동구,308221
광진구,355559
동대문구,348052
중랑구,403209
성북구,435868
강북구,319164
도봉구,339413
노원구,543752
은평구,483197
서대문구,310313
마포구,375077
양천구,464185
강서구,596949
구로구,404497
금천구,233917
영등포구,367778
동작구,396203
관악구,501957
서초구,433951
강남구,542364
송파구,666635
강동구,427573
서구,110534
동구,86912
영도구,120109
부산진구,362357
동래구,266515
남구,279917
북구,296952
해운대구,409347
사하구,327791
금정구,242956
연제구,207840
수영구,176246
사상구,223361
기장군,164864
수성구,432759
달서구,573413
달성군,250543
미추홀구,416542
연수구,346359
남동구,537161
부평구,524640
계양구,312680
강화군,68896
옹진군,21036
광산구,404547
유성구,349790
대덕구,181991
울주군,221842
세종시,314126
수원시,1201166
장안구,286433
권선구,377647
팔달구,180974
영통구,356112
성남시,954347
수정구,234133
중원구,224885
분당구,495329
의정부시,447026
안양시,576831
만안구,251512
동안구,325319
부천시,843768
광명시,326841
평택시,495642
동두천시,96226
안산시,660343
상록구,356311
단원구,304032
고양시,1044189
덕양구,450449
일산동구,296223
일산서구,297517
과천시,58142
구리시,203553
남양주시,681828
오산시,220070
시흥시,448687
군포시,276916
의왕시,153932
하남시,254415
용인시,1035126
처인구,249118
기흥구,427719
수지구,358289
파주시,451848
이천시,214206
안성시,183579
김포시,423170
화성시,758722
광주시,363782
양주시,216951
포천시,150676
여주시,111525
연천군,44633
가평군,62918
양평군,116095
춘천시,280640
원주시,344070
강릉시,212957
동해시,91272
태백시,44858
속초시,81682
삼척시,68326
홍천군,69949
횡성군,46726
영월군,39730
평창군,42610
정선군,37700
철원군,46413
화천군,25084
양구군,23408
인제군,32136
고성군,28144
양양군,27347
청주시,837749
서원구,209404
청원구,197225
상당구,176818
흥덕구,254302
충주시,210504
제천시,135386
보은군,33680
옥천군,51465
영동군,49715
증평군,37317
진천군,78218
괴산군,39133
음성군,95830
단양군,30255
당진시,167770
천안시,646075
동남구,257978
서북구,388097
공주시,107581
보령시,101990
아산시,312822
서산시,174162
논산시,120230
계룡시,43731
금산군,53222
부여군,68078
서천군,53922
청양군,32296
홍성군,101082
예산군,80083
태안군,63238
전주시,651091
완산구,345065
덕진구,306026
군산시,272645
익산시,294062
정읍시,112169
남원시,82554
김제시,85331
완주군,94444
진안군,25963
무주군,24589
장수군,23221
임실군,30072
순창군,29209
고창군,57041
부안군,54441
목포시,232327
여수시,283300
순천시,279389
나주시,113839
광양시,156564
담양군,46917
곡성군,29624
구례군,27117
고흥군,65777
보성군,42803
화순군,63933
장흥군,39312
강진군,36144
해남군,71901
영암군,54731
무안군,81991
함평군,33420
영광군,54127
장성군,45795
완도군,51477
진도군,31219
신안군,41263
포항시,510013
경주시,256864
김천시,141104
안동시,162180
구미시,421494
영주시,106801
영천시,101595
상주시,100297
문경시,71874
경산시,261093
군위군,23919
의성군,52944
청송군,25678
영양군,17356
영덕군,38108
청도군,43057
고령군,32969
성주군,44672
칠곡군,118828
예천군,53274
봉화군,32843
울진군,50036
울릉군,9832
창원시,1053601
의창구,252896
성산구,227337
마산합포구,180535
마산회원구,199457
진해구,193376
진주시,345987
통영시,133720
사천시,113888
김해시,533672
밀양시,106744
거제시,250516
양산시,348639
의령군,27667
함안군,67025
창녕군,63396
남해군,43990
하동군,47533
산청군,35952
함양군,40044
거창군,62455
합천군,45916
제주시,485946
서귀포시,181245
