행정구역,총인구수
용산구,241033
성동구,341375
광진구,388109
동대문구,381799
중랑구,448928
성북구,450602
강북구,351404
도봉구,371259
노원구,646905
은평구,467719
서대문구,366228
마포구,379141
양천구,484345
강서구,521489
구로구,415330
금천구,260476
영등포구,406860
동작구,406116
관악구,527764
서초구,393849
강남구,540640
송파구,655483
강동구,489241
중구,57056
서구,151874
동구,124303
영도구,179841
부산진구,426518
동래구,295361
남구,302642
북구,311481
해운대구,407562
사하구,383864
금정구,285760
연제구,226267
수영구,181075
사상구,300309
기장군,76166
수성구,456487
달서구,599664
달성군,156100
연수구,261038
남동구,407615
부평구,552093
계양구,339696
강화군,66860
옹진군,14050
광산구,263032
유성구,171732
대덕구,230939
울주군,170265
수원시,974866
장안구,323368
권선구,328962
팔달구,322536
성남시,932780
수정구,257575
중원구,273728
분당구,401477
의정부시,367171
안양시,591670
만안구,261508
동안구,330162
부천시,781091
원미구,388754
소사구,201227
오정구,191110
광명시,336309
평택시,358263
동두천시,74266
안산시,590598
고양시,811467
덕양구,371375
일산구,440092
과천시,71201
구리시,184816
남양주시,375041
오산시,114540
시흥시,337402
군포시,269080
의왕시,124191
하남시,123659
용인시,451670
파주시,224658
이천시,187274
안성시,141605
김포시,180404
화성시,210524
광주시,152878
양주군,135748
여주군,104648
연천군,51655
포천군,146272
가평군,56045
양평군,82704
춘천시,251142
원주시,274266
강릉시,231943
동해시,103570
태백시,56193
속초시,90231
삼척시,79770
홍천군,74019
횡성군,45496
영월군,52101
평창군,46478
정선군,49048
철원군,52072
화천군,24965
양구군,23198
인제군,33092
고성군,34643
양양군,30180
청주시,592504
상당구,235272
흥덕구,357232
충주시,215249
제천시,144968
청원군,124181
보은군,42082
옥천군,59515
영동군,57184
진천군,60309
괴산군,43126
음성군,87289
단양군,38721
천안시,432534
공주시,133978
보령시,116306
아산시,186469
서산시,150116
논산시,140287
금산군,62985
연기군,81328
부여군,90373
서천군,72787
청양군,40029
홍성군,93558
예산군,100289
태안군,67878
당진군,120445
전주시,622283
완산구,335556
덕진구,286727
군산시,276717
익산시,334757
정읍시,151813
남원시,103977
김제시,115244
완주군,86719
진안군,32635
무주군,30333
장수군,30445
임실군,37439
순창군,33892
고창군,74286
부안군,75914
목포시,245344
여수시,320146
순천시,271734
나주시,105832
광양시,138238
담양군,53268
곡성군,38767
구례군,32948
고흥군,95864
보성군,59417
화순군,79219
장흥군,51738
강진군,50846
해남군,96445
영암군,64391
무안군,68904
함평군,43522
영광군,70120
장성군,54687
완도군,65397
진도군,41139
신안군,51342
포항시,515039
경주시,287506
김천시,150858
안동시,181838
구미시,344159
영주시,128707
영천시,117991
상주시,122047
문경시,89091
경산시,215995
군위군,34055
의성군,73872
청송군,33517
영양군,22172
영덕군,49593
청도군,51268
고령군,36796
성주군,50380
칠곡군,104743
예천군,58081
봉화군,41364
울진군,65688
울릉군,9944
창원시,524068
마산시,433135
진주시,339906
진해시,134660
통영시,135547
사천시,119305
김해시,353768
밀양시,122999
거제시,178980
양산시,200694
의령군,33494
함안군,65368
창녕군,71047
남해군,57916
하동군,60298
산청군,39863
함양군,45184
거창군,68574
합천군,59599
제주시,284498
서귀포시,85129
북제주군,100017
남제주군,77245
