행정구역,총인구수
중구,125249
용산구,230241
성동구,299259
광진구,357215
동대문구,355069
중랑구,411005
성북구,450355
강북구,327195
도봉구,348220
노원구,567581
은평구,491476
서대문구,314194
마포구,379892
양천구,477739
강서구,595485
구로구,417551
금천구,235386
영등포구,370613
동작구,400997
관악구,506851
서초구,447192
강남구,567115
송파구,657831
강동구,444168
서구,112973
동구,89826
영도구,126362
부산진구,376526
동래구,272745
남구,278779
북구,310202
해운대구,419853
사하구,334603
금정구,244624
연제구,207268
수영구,179324
사상구,232800
기장군,158527
수성구,447011
달서구,591891
달성군,218268
연수구,328627
남동구,530982
부평구,549716
계양구,330284
강화군,68010
옹진군,21351
광산구,403049
유성구,343222
대덕구,192688
울주군,219255
세종시,243048
수원시,1194041
장안구,296479
권선구,358393
팔달구,198515
영통구,340654
성남시,974580
수정구,232841
중원구,237909
분당구,503830
의정부시,438457
안양시,597414
만안구,252353
동안구,345061
부천시,851380
광명시,339484
평택시,470832
동두천시,98277
안산시,689859
상록구,375857
단원구,314002
고양시,1039684
덕양구,446233
일산동구,292612
일산서구,300839
과천시,63778
구리시,193763
남양주시,662154
오산시,208656
시흥시,402888
군포시,284890
의왕시,156763
하남시,211101
용인시,991126
처인구,226130
기흥구,417163
수지구,347833
파주시,430781
이천시,210359
안성시,182896
김포시,363443
화성시,640890
광주시,327723
양주시,205513
포천시,154763
여주시,111563
연천군,45907
가평군,62448
양평군,111367
춘천시,280707
원주시,337979
강릉시,213846
동해시,93297
태백시,47070
속초시,81793
삼척시,69599
홍천군,70076
횡성군,45991
영월군,40073
평창군,43318
정선군,38718
철원군,48013
화천군,26264
양구군,24010
인제군,32720
고성군,30114
양양군,27218
청주시,835197
서원구,217120
청원구,190813
상당구,173701
흥덕구,253563
충주시,208350
제천시,136517
보은군,34221
옥천군,52267
영동군,50552
증평군,37308
진천군,69950
괴산군,38973
음성군,97787
단양군,30503
당진시,166630
천안시,617955
동남구,258919
서북구,359036
공주시,109931
보령시,103873
아산시,302929
서산시,170788
논산시,123213
계룡시,42634
금산군,54612
부여군,70187
서천군,56012
청양군,32753
홍성군,99971
예산군,81339
태안군,63900
전주시,651744
완산구,361845
덕진구,289899
군산시,277551
익산시,300479
정읍시,115173
남원시,84188
김제시,87782
완주군,95480
진안군,26069
무주군,24949
장수군,23628
임실군,30197
순창군,29949
고창군,60597
부안군,57005
목포시,237739
여수시,288988
순천시,278548
나주시,104376
광양시,155580
담양군,47229
곡성군,30400
구례군,27412
고흥군,67656
보성군,44469
화순군,65303
장흥군,40669
강진군,37753
해남군,75121
영암군,57045
무안군,82109
함평군,34397
영광군,55618
장성군,46104
완도군,52668
진도군,32078
신안군,42652
포항시,516775
경주시,259452
김천시,142256
안동시,168798
구미시,419891
영주시,109247
영천시,100521
상주시,101799
문경시,74702
경산시,258037
군위군,24171
의성군,54014
청송군,26301
영양군,17713
영덕군,39052
청도군,43564
고령군,34257
성주군,45205
칠곡군,123199
예천군,46166
봉화군,33539
울진군,51738
울릉군,10001
창원시,1063907
의창구,252435
성산구,231571
마산합포구,181797
마산회원구,210791
진해구,187313
진주시,346739
통영시,138160
사천시,114912
김해시,529422
밀양시,108354
거제시,257183
양산시,317037
의령군,28111
함안군,68937
창녕군,63982
남해군,45129
하동군,49622
산청군,36098
함양군,40241
거창군,63308
합천군,48026
제주시,470665
서귀포시,170932
