행정구역,총인구수
중구,125709
용산구,229161
성동구,304808
광진구,357703
동대문구,350647
중랑구,408226
성북구,444055
강북구,324479
도봉구,344166
노원구,554403
은평구,486794
서대문구,312800
마포구,374915
양천구,471154
강서구,601691
구로구,410742
금천구,235154
영등포구,368550
동작구,396217
관악구,503297
서초구,441102
강남구,556164
송파구,664496
강동구,436223
서구,110039
동구,88868
영도구,123521
부산진구,371703
동래구,270727
남구,273854
북구,302924
해운대구,412039
사하구,333301
금정구,244469
연제구,206742
수영구,179996
사상구,229219
기장군,161651
수성구,439211
달서구,578068
달성군,243375
연수구,335142
남동구,536578
부평구,539941
계양구,323784
강화군,68754
옹진군,21573
광산구,404131
유성구,348428
대덕구,186902
울주군,220718
세종시,280100
수원시,1202628
장안구,293828
권선구,365653
팔달구,193311
영통구,349836
성남시,967510
수정구,236932
중원구,230366
분당구,500212
의정부시,441584
안양시,587764
만안구,254977
동안구,332787
부천시,850329
광명시,332790
평택시,481530
동두천시,97071
안산시,677710
상록구,370744
단원구,306966
고양시,1041983
덕양구,448684
일산동구,293673
일산서구,299626
과천시,57527
구리시,200042
남양주시,665321
오산시,213437
시흥시,419664
군포시,281205
의왕시,155767
하남시,232487
용인시,1004081
처인구,231553
기흥구,419429
수지구,353099
파주시,437848
이천시,213142
안성시,182786
김포시,392092
화성시,691086
광주시,345947
양주시,212146
포천시,152925
여주시,111984
연천군,45431
가평군,62973
양평군,115105
춘천시,280514
원주시,341337
강릉시,213952
동해시,92851
태백시,45888
속초시,82273
삼척시,68514
홍천군,70340
횡성군,46281
영월군,40067
평창군,43092
정선군,38173
철원군,47185
화천군,26022
양구군,23835
인제군,32582
고성군,30029
양양군,27207
청주시,835590
서원구,216782
청원구,193767
상당구,171129
흥덕구,253912
충주시,208316
제천시,136432
보은군,34053
옥천군,51766
영동군,50240
증평군,37783
진천군,73677
괴산군,39054
음성군,97306
단양군,30215
당진시,167439
천안시,631531
동남구,255878
서북구,375653
공주시,108432
보령시,103198
아산시,311453
서산시,171678
논산시,122240
계룡시,43967
금산군,53894
부여군,69086
서천군,55175
청양군,32837
홍성군,101570
예산군,80338
태안군,63932
전주시,648964
완산구,359012
덕진구,289952
군산시,274997
익산시,300187
정읍시,113776
남원시,83281
김제시,86926
완주군,95975
진안군,26271
무주군,24809
장수군,23003
임실군,30162
순창군,29698
고창군,60472
부안군,56086
목포시,234379
여수시,286382
순천시,279331
나주시,110110
광양시,155857
담양군,47285
곡성군,30131
구례군,27525
고흥군,66736
보성군,43755
화순군,64680
장흥군,40136
강진군,36868
해남군,73604
영암군,55616
무안군,82872
함평군,34328
영광군,54774
장성군,46111
완도군,52109
진도군,31765
신안군,42070
포항시,513832
경주시,257903
김천시,142908
안동시,166272
구미시,421799
영주시,108371
영천시,100615
상주시,100947
문경시,73294
경산시,259485
군위군,24215
의성군,53474
청송군,26006
영양군,17479
영덕군,38529
청도군,43346
고령군,33768
성주군,45138
칠곡군,120864
예천군,49253
봉화군,33259
울진군,50974
울릉군,9975
창원시,1057032
의창구,253349
성산구,227942
마산합포구,181917
마산회원구,203926
진해구,189898
진주시,346681
통영시,135833
사천시,114252
김해시,532132
밀양시,107898
거제시,254073
양산시,338535
의령군,27849
함안군,68207
창녕군,64101
남해군,44642
하동군,48831
산청군,36340
함양군,40175
거창군,62763
합천군,47000
제주시,478700
서귀포시,178383
