행정구역,총인구수
용산구,230107
성동구,339113
광진구,380537
동대문구,379404
중랑구,433858
성북구,451122
강북구,360525
도봉구,381939
노원구,628184
은평구,478087
서대문구,352071
마포구,383457
양천구,495098
강서구,541671
구로구,416828
금천구,259633
영등포구,406261
동작구,410945
관악구,530156
서초구,400868
강남구,531517
송파구,604293
강동구,471145
중구,53179
서구,142460
동구,114204
영도구,166054
부산진구,405534
동래구,279366
남구,304481
북구,333316
해운대구,403432
사하구,374248
금정구,271046
연제구,221853
수영구,180576
사상구,282097
기장군,79788
수성구,443881
달서구,601467
달성군,155905
연수구,255998
남동구,384244
부평구,557144
계양구,337103
강화군,65114
옹진군,14820
광산구,296101
유성구,203478
대덕구,226947
울주군,174350
수원시,1033829
장안구,283770
권선구,287081
팔달구,220842
영통구,242136
성남시,977166
수정구,262170
중원구,272105
분당구,442891
의정부시,397612
안양시,621047
만안구,265601
동안구,355446
부천시,855697
원미구,444837
소사구,221932
오정구,188928
광명시,331419
평택시,370653
동두천시,79214
안산시,666784
상록구,350368
단원구,316416
고양시,886000
덕양구,385784
일산구,500216
과천시,68333
구리시,193438
남양주시,418360
오산시,121326
시흥시,378613
군포시,275761
의왕시,145535
하남시,129903
용인시,640452
파주시,246323
이천시,190808
안성시,154110
김포시,208192
화성시,271563
광주시,205641
양주시,152596
포천시,150364
여주군,103976
연천군,48687
가평군,54845
양평군,84673
춘천시,254323
원주시,284628
강릉시,227259
동해시,100727
태백시,53264
속초시,87933
삼척시,74301
홍천군,71907
횡성군,44297
영월군,42406
평창군,45311
정선군,45419
철원군,49650
화천군,24267
양구군,21692
인제군,32443
고성군,32361
양양군,29187
청주시,624288
상당구,255214
흥덕구,369074
충주시,207534
제천시,138872
청원군,119745
보은군,38062
옥천군,56634
영동군,52597
증평군,30899
진천군,60347
괴산군,39586
음성군,85638
단양군,34743
천안시,503082
공주시,130280
보령시,108861
아산시,200938
서산시,150131
논산시,135572
계룡시,31174
금산군,60048
연기군,84455
부여군,83260
서천군,65650
청양군,35626
홍성군,91223
예산군,91832
태안군,63764
당진군,117510
전주시,622472
완산구,345623
덕진구,276849
군산시,265168
익산시,322378
정읍시,132285
남원시,96243
김제시,105195
완주군,82482
진안군,30757
무주군,26183
장수군,26788
임실군,33008
순창군,31814
고창군,65203
부안군,66766
목포시,241717
여수시,305312
순천시,270059
나주시,99308
광양시,137601
담양군,50613
곡성군,34396
구례군,30232
고흥군,86747
보성군,54288
화순군,75023
장흥군,46568
강진군,43550
해남군,87736
영암군,62336
무안군,62472
함평군,40205
영광군,62959
장성군,50200
완도군,59950
진도군,37329
신안군,47591
포항시,507129
경주시,277870
김천시,143527
안동시,174037
구미시,365681
영주시,121513
영천시,109520
상주시,112585
문경시,79552
경산시,219579
군위군,28825
의성군,66124
청송군,30099
영양군,20205
영덕군,45826
청도군,47678
고령군,34522
성주군,47731
칠곡군,106475
예천군,52132
봉화군,37526
울진군,58590
울릉군,9191
창원시,507161
마산시,427248
진주시,337425
진해시,151393
통영시,132959
사천시,112670
김해시,427432
밀양시,115459
거제시,190141
양산시,213695
의령군,32371
함안군,62081
창녕군,66074
남해군,53129
하동군,54881
산청군,36849
함양군,41922
거창군,65615
합천군,57909
제주시,296068
서귀포시,83770
북제주군,101915
남제주군,73609
