행정구역,총인구수
용산구,231871
성동구,339368
광진구,384929
동대문구,382875
중랑구,436089
성북구,453057
강북구,360663
도봉구,376599
노원구,631931
은평구,474778
서대문구,355753
마포구,379451
양천구,486962
강서구,537003
구로구,412845
금천구,261224
영등포구,403327
동작구,410360
관악구,522456
서초구,394757
강남구,528977
송파구,619514
강동구,477230
중구,54371
서구,144305
동구,117617
영도구,170355
부산진구,410603
동래구,282056
남구,307287
북구,326710
해운대구,403585
사하구,375283
금정구,274696
연제구,225473
수영구,177119
사상구,287938
기장군,77632
수성구,448430
달서구,603949
달성군,157554
연수구,257564
남동구,392478
부평구,554027
계양구,340175
강화군,65044
옹진군,14270
광산구,286982
유성구,193974
대덕구,229208
울주군,173843
수원시,1032944
장안구,285539
권선구,287059
팔달구,216031
영통구,244315
성남시,962048
수정구,260244
중원구,274874
분당구,426930
의정부시,394803
안양시,604505
만안구,266852
동안구,337653
부천시,844256
원미구,441491
소사구,212857
오정구,189908
광명시,336083
평택시,364979
동두천시,74735
안산시,651625
상록구,346525
단원구,305100
고양시,865077
덕양구,380711
일산구,484366
과천시,70324
구리시,192947
남양주시,403755
오산시,118167
시흥시,368223
군포시,273765
의왕시,143388
하남시,128326
용인시,575255
파주시,237658
이천시,190753
안성시,151522
김포시,203391
화성시,236226
광주시,191466
양주시,148062
포천시,150240
여주군,104030
연천군,49508
가평군,55060
양평군,83730
춘천시,253363
원주시,280738
강릉시,229073
동해시,101764
태백시,53948
속초시,89047
삼척시,75759
홍천군,71351
횡성군,44306
영월군,44027
평창군,46375
정선군,46225
철원군,50212
화천군,24540
양구군,21995
인제군,32092
고성군,32739
양양군,29480
청주시,615155
상당구,249306
흥덕구,365849
충주시,209138
제천시,140676
청원군,121235
보은군,38973
옥천군,57505
영동군,54036
증평군,31310
진천군,59724
괴산군,40411
음성군,85771
단양군,35701
천안시,456501
공주시,130957
보령시,110380
아산시,193122
서산시,151818
논산시,135719
계룡시,31058
금산군,60740
연기군,82733
부여군,85275
서천군,67414
청양군,36992
홍성군,94658
예산군,95029
태안군,63930
당진군,116477
전주시,618819
완산구,342672
덕진구,276147
군산시,268639
익산시,325238
정읍시,155319
남원시,101950
김제시,110710
완주군,83649
진안군,30475
무주군,26716
장수군,29445
임실군,34283
순창군,31482
고창군,69639
부안군,68066
목포시,241460
여수시,310350
순천시,269843
나주시,101708
광양시,136484
담양군,50933
곡성군,35297
구례군,30509
고흥군,91518
보성군,55983
화순군,76123
장흥군,47837
강진군,44743
해남군,89981
영암군,63267
무안군,63681
함평군,42119
영광군,64148
장성군,51493
완도군,61145
진도군,38382
신안군,50726
포항시,508850
경주시,281177
김천시,150306
안동시,175677
구미시,355629
영주시,123806
영천시,112423
상주시,115337
문경시,81258
경산시,216240
군위군,29762
의성군,68372
청송군,31313
영양군,20772
영덕군,46965
청도군,50141
고령군,34942
성주군,48655
칠곡군,105843
예천군,53649
봉화군,39439
울진군,61031
울릉군,9245
창원시,510439
마산시,429612
진주시,337319
진해시,150308
통영시,133420
사천시,114556
김해시,407368
밀양시,117732
거제시,186208
양산시,210424
의령군,32766
함안군,63435
창녕군,67313
남해군,54392
하동군,58010
산청군,37783
함양군,42760
거창군,66370
합천군,60160
제주시,292124
서귀포시,83275
북제주군,101828
남제주군,75070
