행정구역,총인구수
중구,133193
용산구,246501
성동구,300711
광진구,371936
동대문구,365486
중랑구,423706
성북구,485171
강북구,345054
도봉구,365573
노원구,603930
은평구,493634
서대문구,314852
마포구,389493
양천구,500210
강서구,569072
구로구,427468
금천구,243438
영등포구,397443
동작구,401408
관악구,526397
서초구,433564
강남구,565710
송파구,682209
강동구,495138
서구,123718
동구,100420
영도구,143205
부산진구,395044
동래구,283742
남구,295121
북구,307988
해운대구,425618
사하구,355443
금정구,254720
연제구,213326
수영구,176691
사상구,254413
기장군,108095
수성구,461083
달서구,606542
달성군,180351
연수구,287903
남동구,495469
부평구,560936
계양구,344299
강화군,66779
옹진군,19485
광산구,375509
유성구,294353
대덕구,205339
울주군,204680
수원시,1088489
장안구,290999
권선구,321176
팔달구,209772
영통구,266542
성남시,979323
수정구,236123
중원구,254872
분당구,488328
의정부시,430400
안양시,615642
만안구,263077
동안구,352565
부천시,872452
원미구,446247
소사구,232190
오정구,194015
광명시,355226
평택시,426886
동두천시,96253
안산시,715586
상록구,380880
단원구,334706
고양시,961239
덕양구,391832
일산동구,278095
일산서구,291312
과천시,71955
구리시,194881
남양주시,578485
오산시,193892
시흥시,401149
군포시,287294
의왕시,149607
하남시,148397
용인시,896044
처인구,209200
기흥구,368722
수지구,318122
파주시,378790
이천시,204566
안성시,180743
김포시,256994
화성시,516765
광주시,265222
양주시,200360
포천시,157967
여주군,109120
연천군,44900
가평군,59358
양평군,99430
춘천시,272805
원주시,320536
강릉시,217571
동해시,95804
태백시,50176
속초시,83745
삼척시,72312
홍천군,69899
횡성군,44360
영월군,40199
평창군,43577
정선군,40181
철원군,48084
화천군,24945
양구군,22285
인제군,31970
고성군,30057
양양군,27942
청주시,661946
상당구,241621
흥덕구,420325
충주시,208433
제천시,137689
청원군,158369
보은군,34717
옥천군,53496
영동군,50621
증평군,34009
진천군,63051
괴산군,37333
음성군,91644
단양군,31595
천안시,571377
동남구,252942
서북구,318435
공주시,124748
보령시,106421
아산시,274523
서산시,161489
논산시,127533
계룡시,42942
금산군,56030
연기군,82890
부여군,74004
서천군,59541
청양군,32291
홍성군,88108
예산군,86421
태안군,62747
당진군,150219
전주시,645894
완산구,362636
덕진구,283258
군산시,275659
익산시,309804
정읍시,120466
남원시,87455
김제시,93111
완주군,84660
진안군,28473
무주군,25863
장수군,23215
임실군,30789
순창군,29497
고창군,60065
부안군,59080
목포시,244871
여수시,292750
순천시,272201
나주시,88243
광양시,150725
담양군,47819
곡성군,31332
구례군,27422
고흥군,72607
보성군,47894
화순군,68985
장흥군,42552
강진군,41599
해남군,78346
영암군,60139
무안군,75718
함평군,36134
영광군,56863
장성군,46245
완도군,54037
진도군,33502
신안군,44355
포항시,517088
경주시,265488
김천시,136185
안동시,168157
구미시,413446
영주시,114148
영천시,104182
상주시,104685
문경시,76727
경산시,243684
군위군,24268
의성군,57744
청송군,26569
영양군,18241
영덕군,40794
청도군,44298
고령군,35455
성주군,45640
칠곡군,118838
예천군,46579
봉화군,34192
울진군,52045
울릉군,10742
창원시,1091881
의창구,254419
성산구,247720
마산합포구,186399
마산회원구,223235
진해구,180108
진주시,335502
통영시,140195
사천시,114133
김해시,507062
밀양시,109329
거제시,232787
양산시,266403
의령군,30045
함안군,66971
창녕군,62490
남해군,50242
하동군,53975
산청군,35651
함양군,41081
거창군,63146
합천군,50608
제주시,422790
서귀포시,153366
