행정구역,총인구수
중구,128065
용산구,235951
성동구,296086
광진구,363354
동대문구,363687
중랑구,418836
성북구,466706
강북구,335025
도봉구,353709
노원구,582552
은평구,498644
서대문구,310376
마포구,385439
양천구,486221
강서구,585160
구로구,425831
금천구,238463
영등포구,382352
동작구,407470
관악구,513186
서초구,449678
강남구,578114
송파구,664738
강동구,476597
서구,118115
동구,94565
영도구,132102
부산진구,387378
동래구,275971
남구,286989
북구,306974
해운대구,423531
사하구,343371
금정구,249856
연제구,208012
수영구,178480
사상구,242953
기장군,144748
수성구,456505
달서구,606433
달성군,184902
연수구,310703
남동구,514656
부평구,556992
계양구,339538
강화군,67118
옹진군,20703
광산구,397281
유성구,327461
대덕구,201558
울주군,214392
세종시,156125
수원시,1174228
장안구,301196
권선구,339835
팔달구,203479
영통구,329718
성남시,974608
수정구,223539
중원구,251982
분당구,499087
의정부시,431112
안양시,600809
만안구,247315
동안구,353494
부천시,855586
원미구,442638
소사구,226400
오정구,186548
광명시,348560
평택시,449555
동두천시,97595
안산시,707876
상록구,381508
단원구,326368
고양시,1006154
덕양구,424423
일산동구,284207
일산서구,297524
과천시,70156
구리시,186820
남양주시,636256
오산시,208565
시흥시,394639
군포시,288408
의왕시,158482
하남시,148896
용인시,961026
처인구,218400
기흥구,402206
수지구,340420
파주시,411348
이천시,205014
안성시,181896
김포시,340310
화성시,540862
광주시,298858
양주시,202072
포천시,155798
여주시,110386
연천군,45363
가평군,61213
양평군,105379
춘천시,275791
원주시,327292
강릉시,215807
동해시,94562
태백시,48258
속초시,82432
삼척시,72314
홍천군,70451
횡성군,45373
영월군,40191
평창군,43660
정선군,39425
철원군,47590
화천군,27143
양구군,23888
인제군,32475
고성군,30269
양양군,27521
청주시,831521
서원구,224727
청원구,174975
상당구,179792
흥덕구,252027
충주시,208527
제천시,136805
보은군,34240
옥천군,52469
영동군,50803
증평군,34771
진천군,65174
괴산군,38351
음성군,95324
단양군,30948
당진시,162844
천안시,598346
동남구,261768
서북구,336578
공주시,113621
보령시,104321
아산시,293954
서산시,167611
논산시,124784
계룡시,40552
금산군,55166
부여군,71754
서천군,57713
청양군,32248
홍성군,91866
예산군,84919
태안군,62574
전주시,652877
완산구,364872
덕진구,288005
군산시,278098
익산시,304117
정읍시,117183
남원시,85643
김제시,90108
완주군,90377
진안군,26474
무주군,25390
장수군,23335
임실군,29966
순창군,30368
고창군,60090
부안군,57534
목포시,239109
여수시,290900
순천시,277188
나주시,90669
광양시,152097
담양군,47177
곡성군,30732
구례군,27170
고흥군,69641
보성군,45882
화순군,66772
장흥군,43190
강진군,39861
해남군,76981
영암군,58852
무안군,81696
함평군,35090
영광군,56833
장성군,46273
완도군,53174
진도군,32746
신안군,43747
포항시,519368
경주시,261535
김천시,135456
안동시,168697
구미시,420320
영주시,110780
영천시,100689
상주시,102892
문경시,75911
경산시,253968
군위군,24170
의성군,55212
청송군,26453
영양군,18197
영덕군,39586
청도군,43993
고령군,35033
성주군,44981
칠곡군,122058
예천군,45104
봉화군,34023
울진군,52104
울릉군,10264
창원시,1075168
의창구,258250
성산구,238414
마산합포구,182223
마산회원구,214291
진해구,181990
진주시,340241
통영시,139439
사천시,116485
김해시,527240
밀양시,107765
거제시,248287
양산시,292376
의령군,29209
함안군,68741
창녕군,63502
남해군,46638
하동군,49223
산청군,35849
함양군,40584
거창군,63137
합천군,50457
제주시,448834
서귀포시,158512
