,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK
261,27611,2060159200,2060051600,2060050400,0,0,107,000,-,¸À°íÀ»±æ,0,000,0,0,0,0,
262,27620,2060123600,2060039100,2060039400,0,0,107,000,-,-,0,000,0,0,0,0,
263,27621,2060110400,2060039200,2060035000,0,0,107,000,-,»õ¸¶À»±æ,0,000,0,0,0,0,
264,27622,2060099400,2060031500,2060001600,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,
265,27623,2060096000,2060031500,2060030000,0,0,107,000,-,¸Ô°Å¸®±æ,0,000,0,0,0,0,
266,27624,2060126000,2060039900,2060040400,0,0,107,000,-,ÀÌ¸Å¾È¸»±æ,0,000,0,0,0,0,
267,27625,2060110600,2060040100,2060035000,0,0,107,000,-,À²µ¿2±æ,0,000,0,0,0,0,
268,27626,2060087600,2060028300,2060027600,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,
269,27627,2060121900,2060038400,2060038500,0,0,107,000,-,-,0,000,0,0,0,0,
270,27628,2060122300,2060038500,2060038900,0,0,107,000,-,È²»õ¿ï1±æ,0,000,0,0,0,0,
271,27629,2060118900,2060037400,2060038000,0,0,107,000,-,»õµ¿¾È1±æ,0,000,0,0,0,0,
272,27630,2060120700,2060038000,2060038300,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,
273,27631,2060117100,2060036900,2060037400,0,0,107,000,-,»õµ¿¾È1±æ,0,000,0,0,0,0,
274,27632,2060101700,2060031900,2060032600,0,0,107,000,-,¼­ÇöÁß¾Ó±æ,0,000,0,0,0,0,
275,27633,2060095300,2060029900,2060030800,0,0,107,000,-,-,0,000,0,0,0,0,
276,27634,2060118100,2060002100,2060038600,0,0,106,000,000,¼º³²´ë·Î,0,107,0,0,0,0,
277,27635,2060087900,2060030700,2060027600,0,0,107,000,-,ºÐ´ç·Î,0,000,0,0,0,0,
278,27636,2060126700,2060040000,2060041100,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
279,27637,2060122500,2060038600,2060039700,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
280,27638,2060125300,2060039700,2060040000,0,0,106,000,385,¼º³²´ë·Î,0,000,0,0,0,0,
281,27639,2060094600,2060029800,2060030500,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,
282,27640,2060110100,2060034800,2060038000,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,
