,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
30,2060124300,2060039300,2060040700,0,0.0,107,-,0,105,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060039300,OEXT2060040700,426.435255496
31,2060067700,2060001702,2060021500,0,0.0,107,±Ã³»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060001702,OEXT2060021500,226.122011607
32,2060067800,2060021500,2060001702,0,0.0,107,±Ã³»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060021500,OEXT2060001702,226.026253045
33,2060067900,2060021500,2060022300,0,0.0,107,±Ã³»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060021500,OEXT2060022300,192.077222012
34,2060068000,2060022300,2060021500,0,0.0,107,±Ã³»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060022300,OEXT2060021500,194.646578178
35,2060071100,2060022300,2060023400,0,0.0,107,±Ã³»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060022300,OEXT2060023400,386.304605345
36,2060071200,2060023400,2060022300,0,0.0,107,±Ã³»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060023400,OEXT2060022300,386.908738279
37,2060145600,2060046100,2060046700,0,0.0,107,ÇÏÅ¾·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060046100,OEXT2060046700,254.185764892
38,2060145700,2060046700,2060046100,0,0.0,107,ÇÏÅ¾·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060046700,OEXT2060046100,251.573910138
39,2060124600,2060039400,2060040500,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060039400,OEXT2060040500,916.616819149
40,2060125800,2060040400,2060039800,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060040400,OEXT2060039800,131.307601289
41,2060108800,2060034500,2060034900,0,0.0,107,»õ¸¶À»±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060034500,OEXT2060034900,457.581331738
42,2060129000,2060041600,2060041000,0,0.0,107,ÅºÃµ¿ì·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060041600,OEXT2060041000,282.742765387
43,2060121600,2060038500,2060038300,0,0.0,107,È²»õ¿ï1±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038500,OEXT2060038300,75.4274089974
44,2060121800,2060038500,2060038400,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038500,OEXT2060038400,82.3219421065
45,2060122200,2060038900,2060038500,0,0.0,107,È²»õ¿ï1±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038900,OEXT2060038500,93.2202023191
46,2060120600,2060038300,2060038000,0,0.0,107,»õµ¿¾È±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038300,OEXT2060038000,71.1989553542
