,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
27,2060128900,2260004700,2060040900,0,0,105,000,57,ÇÏ¿À°í°³,0,000,0,0,0,0,,5,,,OEXT2260004700,OEXT2060040900,OEXT2060128900,,sn_si-kg,206,00000,,0.0313769435761
28,2060124200,2060039300,2060002800,0,0,107,003,-,¼ÛÀ¯°ü±æ,0,000,0,0,0,0,,5,,,OEXT2060039300,OEXT2060002800,OEXT2060124200,,sn_si-kg,206,00000,,0.00196849925206
29,2060126300,2060002800,2060040700,0,0,107,003,-,-,0,000,0,0,0,0,,5,,,OEXT2060002800,OEXT2060040700,OEXT2060126300,,sn_si-kg,206,00000,,0.00236159618394
30,2060127200,2060040300,2060040900,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060040300,OEXT2060040900,OEXT2060127200,,sn_si-kg,206,00000,,0.00191390761119
31,2060095700,2060001500,2060030000,0,0,107,000,-,¼­´ç±æ,0,000,0,0,0,0,,5,,,OEXT2060001500,OEXT2060030000,OEXT2060095700,,sn_si-kg,206,00000,,0.000486348671363
32,2060176500,2050001400,2050002000,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,,5,,,OEXT2050001400,OEXT2050002000,OEXT2060176500,,sn_si-kg,206,00000,,0.00126489198211
33,2060155300,2060049400,2060049300,0,0,107,000,-,ÁßÅ¾±æ,0,000,0,0,0,0,,5,,,OEXT2060049400,OEXT2060049300,OEXT2060155300,,sn_si-kg,206,00000,,0.00141685201581
34,2060172700,2060054700,2050001400,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,,5,,,OEXT2060054700,OEXT2050001400,OEXT2060172700,,sn_si-kg,206,00000,,0.0156678328359
35,2060162300,2060051500,2060051400,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,,5,,,OEXT2060051500,OEXT2060051400,OEXT2060162300,,sn_si-kg,206,00000,,0.00141427016152
36,2060148700,2060047900,2060047100,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,,5,,,OEXT2060047900,OEXT2060047100,OEXT2060148700,,sn_si-kg,206,00000,,0.00140131755004
37,2060147700,2060047100,2060046600,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,,5,,,OEXT2060047100,OEXT2060046600,OEXT2060147700,,sn_si-kg,206,00000,,0.00148041785821
38,2060142300,2060045900,2060045100,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,,5,,,OEXT2060045900,OEXT2060045100,OEXT2060142300,,sn_si-kg,206,00000,,0.00301986339913
39,2060148900,2060047100,2060049300,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,,5,,,OEXT2060047100,OEXT2060049300,OEXT2060148900,,sn_si-kg,206,00000,,0.00186600796988
