,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
403,2060067402,2060021401,2060021400,1,107,000,-,¼­Çö·Î494¹ø±æ,0,0,000,50,0,0.0,0,104.0688,
404,2060067500,2060022600,2060021400,1,107,000,-,Àå¾È·Î52¹ø±æ,0,0,000,30,0,0.0,0,67.631,
405,2060067600,2060021400,2060022600,1,107,000,-,Àå¾È·Î52¹ø±æ,0,0,000,30,0,0.0,0,72.3346,
406,2060067700,2060001702,2060021500,1,107,000,-,±Ã³»·Î,0,0,000,60,0,0.0,0,226.122,
407,2060067800,2060021500,2060001702,1,107,000,-,±Ã³»·Î,0,0,000,60,0,0.0,0,226.0263,
408,2060067900,2060021500,2060022300,1,107,000,-,±Ã³»·Î,0,0,000,60,0,0.0,0,192.0772,
409,2060069000,2060021700,2060023100,1,107,000,-,´ÀÆ¼·Î63¹ø±æ,0,0,000,30,0,0.0,0,84.9022,
410,2060069100,2060021800,2060021900,1,107,000,-,³»Á¤·Î107¹ø±æ,0,0,000,40,0,0.0,0,100.9293,
411,2060069200,2060021900,2060021800,1,107,000,-,³»Á¤·Î107¹ø±æ,0,0,000,40,0,0.0,0,100.9264,
412,2060069301,2060024000,2060021801,1,107,000,-,¹éÇö·Î156¹ø±æ,0,0,000,40,0,0.0,0,104.146,
413,2060069302,2060021801,2060021800,1,107,000,-,¹éÇö·Î156¹ø±æ,0,0,000,40,0,0.0,0,84.2037,
414,2060069401,2060021800,2060021801,1,107,000,-,¹éÇö·Î156¹ø±æ,0,0,000,40,0,0.0,0,82.6017,
415,2060069402,2060021801,2060024000,1,107,000,-,¹éÇö·Î156¹ø±æ,0,0,000,40,0,0.0,0,97.9109,
416,2060069500,2060022000,2060021900,1,107,000,-,³»Á¤·Î107¹ø±æ,0,0,000,40,0,0.0,0,42.311,
417,2060069600,2060021900,2060022000,1,107,000,-,³»Á¤·Î107¹ø±æ,0,0,000,40,0,0.0,0,42.3084,
418,2060069700,2060023500,2060021900,1,107,000,-,³»Á¤·Î113¹ø±æ,0,0,000,40,0,0.0,0,139.6338,
419,2060069800,2060021900,2060023500,1,107,000,-,³»Á¤·Î113¹ø±æ,0,0,000,40,0,0.0,0,129.4844,
420,2060069900,2060023200,2060022000,3,107,000,-,³»Á¤·Î,0,0,000,60,0,0.0,0,123.2603,
421,2060070000,2060022000,2060023200,3,107,000,-,³»Á¤·Î,0,0,000,60,0,0.0,0,119.9519,
422,2060070100,2060023300,2060022100,1,107,000,-,Àå¾È·Î25¹ø±æ,0,0,000,30,0,0.0,0,158.799,
423,2060070200,2060022100,2060023300,1,107,000,-,Àå¾È·Î25¹ø±æ,0,0,000,30,0,0.0,0,158.7969,
424,2060070300,2060023900,2060022100,2,107,000,-,Àå¾È·Î25¹ø±æ,0,0,000,30,0,0.0,0,282.7607,
425,2060070400,2060022100,2060023900,2,107,000,-,Àå¾È·Î25¹ø±æ,1,0,000,30,0,0.0,0,283.139,
426,2060070500,2060022600,2060022200,1,107,000,-,¼­Çö·Î478¹ø±æ,0,0,000,50,0,0.0,0,94.9037,
427,2060070600,2060022200,2060022600,1,107,000,-,¼­Çö·Î478¹ø±æ,0,0,000,50,0,0.0,0,94.7611,
428,2060070700,2060022800,2060022200,1,107,000,-,Àå¾È·Î26¹ø±æ,0,0,000,30,0,0.0,0,82.0943,
429,2060070800,2060022200,2060022800,1,107,000,-,Àå¾È·Î26¹ø±æ,0,0,000,30,0,0.0,0,87.0432,
430,2060070900,2060022700,2060022300,1,107,000,-,±Ã³»·Î40¹ø±æ,0,0,000,50,0,0.0,0,243.1676,
431,2060071000,2060022300,2060022700,1,107,000,-,±Ã³»·Î40¹ø±æ,0,0,000,50,0,0.0,0,231.0346,
432,2060071100,2060022300,2060023400,1,107,000,-,±Ã³»·Î,0,0,000,30,0,0.0,0,386.3046,
433,2060072500,2060022700,2060001701,1,107,000,-,±Ã³»·Î22¹ø±æ,0,0,000,50,0,0.0,0,265.3369,
434,2060075002,2060023601,2060023600,2,107,000,-,Àå¾È·Î,0,0,000,60,0,0.0,0,107.4907,
435,2060076000,2060024700,2060023900,2,107,000,-,ºÐ´ç·Î263¹ø±æ,0,0,000,60,0,0.0,0,150.1396,
436,2060072600,2060001701,2060022700,1,107,000,-,±Ã³»·Î22¹ø±æ,0,0,000,50,0,0.0,0,278.8611,
437,2060072700,2060022800,2060023300,1,107,000,-,Àå¾È·Î41¹ø±æ,0,0,000,30,0,0.0,0,58.1306,
438,2060072800,2060023600,2060022800,2,107,000,-,Àå¾È·Î,0,0,000,60,0,0.0,0,99.0627,
439,2060072900,2060022800,2060023600,2,107,000,-,Àå¾È·Î,0,0,000,60,0,0.0,0,99.2947,
440,2060073200,2060026400,2060022900,1,107,000,-,³»Á¤·Î174¹ø±æ,0,0,000,30,0,0.0,0,512.0759,
441,2060073300,2060022900,2060026400,1,107,000,-,³»Á¤·Î174¹ø±æ,0,0,000,30,0,0.0,0,512.654,
442,2060073400,2060023100,2060023000,1,107,000,-,È²»õ¿ï·Î116¹ø±æ,0,0,000,40,0,0.0,0,163.3643,
443,2060073500,2060023000,2060023100,1,107,000,-,È²»õ¿ï·Î116¹ø±æ,0,0,000,40,0,0.0,0,163.3673,
444,2060073600,2060024500,2060023000,2,107,000,-,È²»õ¿ï·Î,0,0,000,60,0,0.0,0,144.5194,
445,2060073700,2060023000,2060024500,2,107,000,-,È²»õ¿ï·Î,0,0,000,60,0,0.0,0,144.5195,
446,2060073800,2060024900,2060023100,1,107,000,-,¹éÇö·Î144¹ø±æ,0,0,000,30,0,0.0,0,223.5854,
447,2060073900,2060023100,2060024900,1,107,000,-,¹éÇö·Î144¹ø±æ,0,0,000,30,0,0.0,0,214.4548,
448,2060074000,2060023800,2060023200,1,107,000,-,³»Á¤·Î119¹ø±æ,0,0,000,40,0,0.0,0,48.0498,
449,2060074100,2060023200,2060023800,1,107,000,-,³»Á¤·Î119¹ø±æ,0,0,000,40,0,0.0,0,48.0497,
450,2060074200,2060024300,2060023200,3,107,000,-,³»Á¤·Î,0,0,000,60,0,0.0,0,144.6576,
451,2060074300,2060023200,2060024300,3,107,000,-,³»Á¤·Î,0,0,000,60,0,0.0,0,141.6279,
452,2060074400,2060023300,2060024700,2,107,000,-,Àå¾È·Î41¹ø±æ,0,0,000,30,0,0.0,0,291.847,
453,2060074500,2060024700,2060023300,2,107,000,-,Àå¾È·Î41¹ø±æ,1,0,000,30,0,0.0,0,290.7103,
454,2060074600,2060023800,2060023500,1,107,000,-,³»Á¤·Î113¹ø±æ,0,0,000,40,0,0.0,0,34.0432,
455,2060074700,2060023500,2060023800,1,107,000,-,³»Á¤·Î113¹ø±æ,0,0,000,40,0,0.0,0,34.0412,
456,2060074800,2060024100,2060023500,1,107,000,-,¹éÇö·Î156¹ø±æ,0,0,000,40,0,0.0,0,99.7172,
457,2060074900,2060023500,2060024100,1,107,000,-,¹éÇö·Î156¹ø±æ,0,0,000,40,0,0.0,0,99.7196,
458,2060075001,2060001000,2060023601,2,107,000,-,Àå¾È·Î,0,0,000,60,0,0.0,0,155.7157,
459,2060076100,2060023900,2060024700,2,107,000,-,ºÐ´ç·Î263¹ø±æ,0,0,000,60,0,0.0,0,150.2114,
460,2060076200,2060026300,2060023900,2,107,000,-,ºÒÁ¤·Î376¹ø±æ,0,0,000,30,0,0.0,0,409.3608,
461,2060076300,2060023900,2060026300,2,107,000,-,ºÒÁ¤·Î376¹ø±æ,1,0,000,30,0,0.0,0,409.4501,
