,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,ID½Å±ÔºÎ¿©,latitude,longitude
47,2060038300,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38735715152541,127.12439857397112
48,2060038000,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.386875057361124,127.12492891856095
49,2060037900,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38684836997987,127.12368210569412
50,2060037400,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38636605728033,127.12425832470058
51,2060036900,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38576321384511,127.12346426201964
52,2060030700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.378400619973945,127.1259502929787
53,2060031900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.380380275973266,127.1287278247845
54,2060032600,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.380934244853506,127.12948051235696
55,2060040500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.39128130722736,127.12857373045142
56,2060033400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38178605749863,127.13071035591645
57,2060031100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37934568242093,127.12991804331602
58,2060031200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37947718308675,127.12752216849105
59,2060030800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37851043258962,127.12871013691881
60,2060035100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.383814088929284,127.12537026174607
61,2060034600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38329971360076,127.12465776217721
62,2060030500,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37826565152238,127.13296266836869
63,2060034900,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38373008865449,127.13332657453122
64,2060039800,102,-,0,,sn_si-kg,5,999,,,00000,206,,37.39029030741108,127.13291244932725
65,2060033800,101,¼­Çö»ç°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.38219777611687,127.12171876159766
66,2060031600,101,ºÐ´ç»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37996468307574,127.11859476148345
67,2060032400,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.38086258867287,127.11754479312174
68,2060033200,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38172208872271,127.1165931997981
69,2060032900,104,¹éÇöÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.381422244865576,127.11166726230806
70,2060034100,104,ÃÊ¸²ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.382568182579064,127.11272466806292
71,2060035500,101,¼ö³»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.384011651093374,127.11400023045644
72,2060036400,104,¼­ÇöÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.385457901210714,127.11528607479875
73,2060036200,104,ÃÊ¸²ÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.385170401447795,127.11502873110203
74,2060039000,104,¼­ÇöÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.38855171378236,127.11819176179233
75,2060039500,104,¸Å¼ÛÁöÇÏÂ÷µµ,0,,sn_si-kg,5,999,,,00000,206,,37.38926277623466,127.11886960598679
76,2060003100,101,¸Å¼Û»ç°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.391431682863924,127.12022094975111
77,2060002700,101,¾çÇö»ç°Å¸®,1,,sn_si-kg,5,999,,,00000,206,,37.390087713540254,127.12245938656372
78,2060036300,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.38537849557213,127.1181422622085
79,2060035300,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.383969588902744,127.11975338683214
80,2060037300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.386272463937416,127.12284073058038
81,2060038800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38817399493274,127.120758605829
82,2060038200,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38731758855073,127.12169638736486
83,2060035600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38442843289465,127.12036851230835
84,2060032700,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.38123877597707,127.11591544913313
85,2060031700,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.38016452681984,127.11440898041269
86,2060031000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.3788994954873,127.11582329290684
87,2060032000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38040599478467,127.11692069960623
88,2060034800,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38355418306418,127.12138179282783
89,2060034400,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.38308265143712,127.12072951186201
90,2060030900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.37852915107834,127.11213941806466
91,2060032300,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38070877672686,127.11655523042202
92,2060031400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.37960524474505,127.11502610598109
93,2060030100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.377988744873676,127.11278626172941
94,2060037100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38602874496951,127.11994994984946
95,2060038100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.387285120327476,127.11994710529382
96,2060036600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38554221355031,127.12186126187112
97,2060037600,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.386590026237116,127.12071051188548
98,2060036000,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38499696359713,127.12108782424161
99,2060036100,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.385075745106235,127.12237354357808
100,2060035700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38451421382706,127.12162023097676
101,2060035400,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38398002643419,127.1209036053184
102,2060037700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.38677749531007,127.12228773027005
103,2060038700,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.387948776817666,127.12245351219224
104,2060041300,101,¾È¸»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.394704276158336,127.12828654275324
105,2060042200,101,¹°¹æ¾Æ»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.399191245572695,127.12869385559281
106,2060044400,101,ÇÏÅ¾»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.405403776540254,127.1286386372202
107,2060049800,101,¾ßÅ¾¿ª»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.40984093250739,127.12870732473891
108,2060052200,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.412340214077346,127.12869679277856
