동래구,295361.0,290396.0,282056.0,279366.0,279528.0,284901.0,281644.0,282779.0,283742.0,278767.0,276689.0,275971.0,272837.0,272745.0,270727.0,266515,271247,270745,266912,282258.0
남구,302642.0,305375.0,307287.0,304481.0,297893.0,296666.0,297963.0,298458.0,295121.0,291175.0,291770.0,286989.0,283101.0,278779.0,273854.0,279917,274480,267731,263236,300809.0
북구,311481.0,320976.0,326710.0,333316.0,330446.0,325302.0,314227.0,312218.0,307988.0,312937.0,309719.0,306974.0,310484.0,310202.0,302924.0,296952,291132,283952,283766,323954.0
해운대구,407562.0,401663.0,403585.0,403432.0,418875.0,423816.0,424974.0,426729.0,425618.0,428188.0,425536.0,423531.0,422818.0,419853.0,412039.0,409347,406102,402169,397516,410811.0
사하구,383864.0,378236.0,375283.0,374248.0,366865.0,364693.0,359800.0,358730.0,355443.0,352726.0,349110.0,343371.0,337781.0,334603.0,333301.0,327791,321004,311757,306605,368604.0
금정구,285760.0,278511.0,274696.0,271046.0,263338.0,258934.0,252039.0,255419.0,254720.0,255692.0,253526.0,249856.0,246026.0,244624.0,244469.0,242956,239062,232666,229148,264672.0
연제구,226267.0,228268.0,225473.0,221853.0,214809.0,212658.0,210390.0,212696.0,213326.0,211536.0,209290.0,208012.0,210718.0,207268.0,206742.0,207840,209395,209157,205607,217622.0
수영구,181075.0,177881.0,177119.0,180576.0,177814.0,178253.0,177292.0,178267.0,176691.0,176666.0,175098.0,178480.0,179795.0,179324.0,179996.0,176246,176148,176894,175583,177937.0
사상구,300309.0,294090.0,287938.0,282097.0,271484.0,265512.0,255274.0,257843.0,254413.0,250424.0,246797.0,242953.0,237711.0,232800.0,229219.0,223361,218094,212586,209138,273521.0
기장군,76166.0,76384.0,77632.0,79788.0,79334.0,79565.0,89384.0,102557.0,108095.0,114566.0,132507.0,144748.0,153093.0,158527.0,161651.0,164864,164716,174545,176879,79536.0
수성구,456487.0,446879.0,448430.0,443881.0,440172.0,447164.0,456196.0,461988.0,461083.0,459779.0,461004.0,456505.0,451786.0,447011.0,439211.0,432759,428614,424314,418833,446181.0
달서구,599664.0,605433.0,603949.0,601467.0,589041.0,591169.0,598011.0,607083.0,606542.0,606557.0,610358.0,606433.0,602641.0,591891.0,578068.0,573413,568887,558631,547340,596998.0
달성군,156100.0,155601.0,157554.0,155905.0,158314.0,160443.0,176135.0,178899.0,180351.0,184366.0,184358.0,184902.0,192747.0,218268.0,243375.0,250543,256540,259339,262811,159303.0
